"year","artist","position","genre"
2000,"Faith Hill",1,"country"
2000,"Santana & The Product G",2,"rock"
2000,"Joe Thomas",3,"funk"
2000,"Aaliyah",4,"pop"
2000,"Toni Braxton",5,"pop"
2000,"Rob Thomas & Santana",6,"mellow"
2000,"Vertical Horizon",7,"mellow"
2000,"Destiny's Child",8,"pop"
2000,"Lonestar",9,"country"
2000,"Matchbox Twenty",10,"mellow"
2001,"Lifehouse",1,"metal"
2001,"Alicia Keys",2,"soul"
2001,"Train",3,"mellow"
2001,"Eve & Gwen Stefani",4,"pop"
2001,"Shaggy",5,"pop"
2001,"Dido",6,"pop"
2001,"Jennifer Lopez & Ja Rule",7,"pop"
2001,"Shaggy & Ricardo 'RikRok' Ducent",8,"pop"
2001,"Mary J Blige",9,"pop"
2001,"Christina Aguilera, Lil' Kim, Mya & Pink",10,"pop"
2002,"P Diddy, Usher & Loon",1,"pop"
2002,"Nickelback",2,"metal"
2002,"Vanessa Carlton",3,"pop"
2002,"Ashanti",4,"pop"
2002,"Nelly & Kelly Rowland",5,"pop"
2002,"Avril Lavigne",6,"pop"
2002,"The Calling",7,"mellow"
2002,"Nelly",8,"pop"
2002,"Eminem",9,"hip hop"
2002,"Fat Joe & Ashanti",10,"hip hop"
2003,"50 Cent",1,"hip hop"
2003,"Sean Paul",2,"pop"
2003,"Evanescence & Paul McCoy",3,"metal"
2003,"Beyonce & Jay-Z",4,"pop"
2003,"Matchbox Twenty",6,"mellow"
2003,"Chingy",8,"crunk"
2003,"Beyonce",9,"pop"
2003,"Three Doors Down",10,"metal"
2004,"Usher, Lil' Jon & Ludacris",1,"hip hop"
2004,"Maroon 5",2,"pop"
2004,"Mario Winans, Enya & P Diddy",3,"r&b"
2004,"Usher",4,"hip hop"
2004,"Alicia Keys",5,"soul"
2004,"Hoobastank",6,"metal"
2004,"OutKast",7,"hip hop"
2004,"J-Kwon",8,"rap"
2004,"Evanescence",9,"metal"
2004,"Terror Squad",10,"hip hop"
2005,"Mariah Carey",1,"pop"
2005,"Kelly Clarkson",2,"pop"
2005,"The Pussycat Dolls",3,"pop"
2005,"Gwen Stefani",4,"pop"
2005,"Mario",5,"pop"
2005,"Green Day",6,"permanent wave"
2005,"50 Cent & Olivia",7,"hip hop"
2005,"Ciara & Missy 'Misdemeanor' Elliot",8,"pop"
2005,"Gorillaz",9,"hip hop"
2006,"Shakira & Wyclef Jean",1,"pop"
2006,"Gnarls Barkley",2,"hip hop"
2006,"Sean Paul",3,"pop"
2006,"Nelly Furtado & Timbaland",4,"latin"
2006,"Justin Timberlake",5,"pop"
2006,"The Pussycat Dolls & Snoop Dogg",6,"pop"
