"","year","artist","position","song","indicativerevenue","genre"
"1",2000,"Faith Hill",1,"Breathe",24030.051,"country"
"2",2000,"Santana & The Product G",2,"Maria Maria",23320.084,"rock"
"3",2000,"Joe Thomas",3,"I Wanna Know",21516.777,"funk"
"4",2000,"Aaliyah",4,"Try Again",21099.824,"pop"
"5",2000,"Toni Braxton",5,"He Wasn't Man Enough",21023.066,"pop"
"6",2000,"Rob Thomas & Santana",6,"Smooth",20735.418,"mellow"
"7",2000,"Vertical Horizon",7,"Everything You Want",20402.965,"mellow"
"8",2000,"Destiny's Child",8,"Say My Name",19489.657,"pop"
"9",2000,"Lonestar",9,"Amazed",19138.169,"country"
"10",2000,"Matchbox Twenty",10,"Bent",18997.978,"mellow"
"11",2000,"Madonna",11,"Music",18983.471,"pop"
"12",2000,"Sisqo",12,"Thong Song",18403.832,"hip hop"
"13",2000,"Three Doors Down",13,"Kryptonite",18341.509,"metal"
"14",2000,"Destiny's Child",14,"Jumpin' Jumpin'",18020.444,"pop"
"15",2000,"Creed",15,"Higher",17082.223,"rock"
"16",2000,"Pink",16,"There You Go",16517.97,"rock"
"17",2000,"Sonique",17,"It Feels So Good",16425.28,"dance"
"18",2000,"Marc Anthony",18,"You Sang To Me",16071.829,"latin"
"19",2000,"Macy Gray",19,"I Try",15615.636,"soul"
"20",2000,"N Sync",20,"Bye, Bye, Bye",15292.321,"boy band"
"21",2000,"Janet Jackson",21,"Doesn't Really Matter",15074.193,"pop"
"22",2000,"Nelly",22,"(Hot S**t) Country Grammar",14859.853,"pop"
"23",2000,"Creed",23,"With Arms Wide Open",14754.656,"rock"
"24",2000,"Savage Garden",24,"I Knew I Loved You",14516.724,"boy band"
"25",2000,"N Sync",25,"It's Gonna Be Me",14236.573,"boy band"
"26",2000,"Christina Aguilera",26,"What A Girl Wants",14227.323,"pop"
"27",2000,"Montell Jordan",27,"Get It On Tonite",13780.222,"hip hop"
"29",2000,"Sisqo",29,"Incomplete",13684.593,"hip hop"
"30",2000,"Eminem",30,"The Real Slim Shady",13622.796,"hip hop"
"31",2000,"Sting & Cheb Mami",31,"Desert Rose",13412.469,"permanent wave"
"32",2000,"Britney Spears",32,"Oops!... I Did It Again",13352.954,"pop"
"33",2000,"Christina Aguilera",33,"Come On Over Baby (All I Want Is You)",12961.533,"pop"
"34",2000,"Enrique Iglesias",34,"Be With You",12919.835,"pop"
"35",2000,"Celine Dion",35,"That's The Way It Is",12744.707,"pop"
"36",2000,"Faith Hill",36,"The Way You Love Me",12648.231,"country"
"37",2000,"Ruff Endz",37,"No More",12405.965,"new jack swing"
"38",2000,"BBMak",38,"Back Here",12118.763,"boy band"
"39",2000,"Nine Days",39,"Absolutely (Story Of A Girl)",11901.115,"mellow"
"40",2000,"Bon Jovi",40,"It's My Life",11712.6,"metal"
"41",2000,"Marc Anthony",41,"I Need To Know",11461.764,"latin"
"42",2000,"Pink",42,"Most Girls",11361.064,"rock"
"43",2000,"blink-182",43,"All The Small Things",11000.462,"pop"
"44",2000,"Destiny's Child",44,"Independent Woman",10851.895,"pop"
"45",2000,"Brian McKnight",45,"Back At One",10600.424,"pop"
"46",2000,"Christina Aguilera",46,"I Turn To You",10518.83,"pop"
"47",2000,"Samantha Mumba",47,"Gotta Tell You",9789.133,"dance"
"48",2000,"Mya",48,"Case Of The Ex (Whatcha Gonna Do)",9679.084,"pop"
"49",2000,"Mariah Carey",49,"Thank God I Found You",9583.049,"pop"
"50",2000,"Mary Mary",50,"Shackles (Praise You)",9519.617,"gospel"
"51",2000,"LeAnn Rimes",51,"I Need You",9380.273,"country"
"52",2000,"Blaque",52,"Bring It All To Me",9343.446,"girl group"
"53",2000,"Next",53,"Wifey",9127.489,"boy band"
"54",2000,"Jagged Edge",54,"Let's Get Married",9118.588,"hip hop"
"55",2000,"Third Eye Blind",55,"Never Let You Go",9020.139,"rock"
"57",2000,"Eiffel 65",57,"Blue (Da Ba Dee)",8864.615,"dance"
"58",2000,"Red Hot Chili Peppers",58,"Otherside",8768.991,"rock"
"60",2000,"98 Degrees",60,"Give Me Just One Night",8294.998,"boy band"
"61",2000,"Everclear",61,"Wonderful",8261.942,"metal"
"62",2000,"Madonna",62,"American Pie",8165.795,"pop"
"63",2000,"Dr Dre & Snoop Dogg",63,"The Next Episode",8154.898,"funk"
"64",2000,"Dr Dre, Eminem & Skylar Grey",64,"Forgot About Dre",8055.731,"funk"
"65",2000,"Mystikal",65,"Shake Ya Ass",8046.166,"crunk"
"67",2000,"Debelah Morgan",67,"Dance With Me",7839.287,"urban contemporary"
"68",2000,"Son By Four",68,"Purest Of Pain (A Puro Dolor)",7809.399,"latin"
"69",2000,"Whitney Houston & Enrique Iglesias",69,"Could I Have This Kiss Forever",7798.743,"pop"
"71",2000,"Erykah Badu",71,"Bag Lady",7668.147,"afrofuturism"
"72",2000,"N Sync",72,"This I Promise You",7655.888,"boy band"
"73",2000,"Jay-Z & UGK",73,"Big Pimpin'",7637.057,"hip hop"
"74",2000,"Ricky Martin",74,"She Bangs",7627.54,"pop"
"75",2000,"Baha Men",75,"Who Let The Dogs Out?",7563.937,"pop"
"76",2000,"Britney Spears",76,"Lucky",7546.603,"pop"
"77",2000,"Savage Garden",77,"Crash & Burn",7245.16,"boy band"
"78",2000,"Avant",78,"Separated",7207.985,"pop"
"79",2000,"Smash Mouth",79,"Then The Morning Comes",7105.338,"rock"
"80",2000,"Carl Thomas",80,"I Wish",7023.892,"pop"
"81",2000,"Anastacia",81,"I'm Outta Love",6989.035,"pop"
"83",2000,"Bomfunk MCs",83,"Freestyler",6894.385,"dance"
"84",2000,"Kid Rock",84,"Only God Knows Why",6858.964,"metal"
"85",2000,"DMX",85,"Party Up (Up In Here)",6840.357,"hip hop"
"86",2000,"Lara Fabian",86,"I Will Love Again",6811.386,"pop"
"87",2000,"Alice DeeJay",87,"Better Off Alone",6662.063,"dance"
"88",2000,"Filter",88,"Take A Picture",6637.807,"metal"
"89",2000,"Jessica Simpson",89,"I Wanna Love You Forever",6596.018,"pop"
